"Materials Table.  Posted Version 12.7, 8-Feb-2012",,,,,,,,,Added cost calculation,,,,
Material ID,Material,Supplier,Category,Table Price,Unit 1,Unit 2,C1,C2,Size1,Size2,Calc Value,Modified,Comments
24,"Wheel Bearing, Double Row, Ball, Angular Contact",Any,Bearings, [C1]*(([Size1]^2*[Size2]))^([C2]) ,mm,mm,0.4,0.5,0,0, $-   ,23-Feb-09,"[Size1]=Outer diameter (mm), [Size2]=Thickness (mm).  Higher load capacity bearings intended for wheel/hub applications."
25,"Wheel Bearing, Double Row, Ball, Deep Groove",Any,Bearings, [C1]*(([Size1]^2*[Size2]))^([C2]) ,mm,mm,0.4,0.5,0,0, $-   ,23-Feb-09,"[Size1]=Outer diameter (mm), [Size2]=Thickness (mm).  Higher load capacity bearings intended for wheel/hub applications."
26,"Wheel Bearing, Double Row, Ball, Radial",Any,Bearings, [C1]*(([Size1]^2*[Size2]))^([C2]) ,mm,mm,0.4,0.5,0,0, $-   ,23-Feb-09,"[Size1]=Outer diameter (mm), [Size2]=Thickness (mm).  Higher load capacity bearings intended for wheel/hub applications."
27,"Wheel Bearing, Tapered Needle",Any,Bearings, [C1]*[Size1]*[Size2]+[C2] ,mm,mm,0.009,20.9,0,0, $20.90 ,23-Feb-09,"[Size1]=Outer diameter (mm), [Size2]=Thickness (mm).  Higher load capacity bearings intended for wheel/hub applications."
28,"Wheel Bearing, Tapered Roller",Any,Bearings, [C1]*[Size1]*[Size2]+[C2] ,mm,mm,0.009,20.9,0,0, $20.90 ,23-Feb-09,"[Size1]=Outer diameter (mm), [Size2]=Thickness (mm).  Higher load capacity bearings intended for wheel/hub applications."
29,"90-Degree Coupler, Tilton 72-560",Tilton,Brake System, $45.00 ,unit,,,,,,,,
30,"90-Degree Coupler, Tilton 72-561",Tilton,Brake System, $47.50 ,unit,,,,,,,14-Mar-09,
31,"90-Degree Coupler, Tilton 72-562",Tilton,Brake System, $50.00 ,unit,,,,,,,14-Mar-09,
32,"ABS Kit, Bosch, M4 Kit 1",Bosch,Brake System," $3,534.00 ",unit,,,,,,,18-Apr-10,
33,"ABS Kit, Bosch, M4 Kit 2",Bosch,Brake System," $4,158.00 ",unit,,,,,,,18-Apr-10,
34,"Balance Bar, AP, CP5500-9",AP,Brake System, $270.00 ,unit,,,,,,,,
35,"Balance Bar, AP, CP5520-4",AP,Brake System, $300.00 ,unit,,,,,,,8-Jun-09,
36,"Balance Bar, Brake, Student Built",Student Built,Brake System, $-   ,unit,,,,,,,,
37,"Balance Bar, Sandtler, 128153",Sandtler,Brake System, $65.00 ,unit,,,,,,,23-May-10,
38,"Balance Bar, Sandtler, 128154",Sandtler,Brake System, $73.00 ,unit,,,,,,,23-May-10,
39,"Balance Bar, Timms Autoteile, 013 901",Timms Autoteile,Brake System, $28.40 ,unit,,,,,,,3-May-09,
40,"Balance Bar, Tilton, 72-250 ",Tilton,Brake System, $30.00 ,unit,,,,,,,,
41,"Balance Bar, Tilton, 72-260",Tilton,Brake System, $30.00 ,unit,,,,,,,,
42,"Balance Bar, Tilton, 72-280",Tilton,Brake System, $312.50 ,unit,,,,,,,,
43,"Balance Bar, Tilton, 72-281",Tilton,Brake System, $325.00 ,unit,,,,,,,,
44,"Balance Bar, Tilton, 72-300",Any,Brake System, $32.00 ,unit,,,,,,,15-Mar-09,
45,"Balance Bar Cable Adjuster, AP CP2905-8",AP,Misc., $80.00 ,,,,,,,,19-Apr-09,
46,"Balance Bar Cable Adjuster, Optimum Balance Prod",Optimum Balance Products,Misc., $22.00 ,unit,,,,,,,22-Apr-09,
47,"Balance Bar Cable Adjuster, Right Angle Drive, AP CP5500-10",AP,Brake System, $103.00 ,unit,,,,,,,18-Apr-10,
48,"Balance Bar Cable Adjuster, Sandtler, 128154",Sandtler,Brake System, $73.00 ,unit,,,,,,,23-May-10,
49,"Brake Caliper Piston, Student Built",Student Built,Brake System, $5.00 ,unit,,,,,,,,
50,"Brake Caliper, AP, CP2577",AP,Brake System, $125.00 ,unit,,,,,,,,
51,"Brake Caliper, AP, CP3696-6E0",AP,Brake System, $77.50 ,unit,,,,,,,,
52,"Brake Caliper, AP, CP4226",AP,Brake System, $112.50 ,unit,,,,,,,,
53,"Brake Caliper, AP, CP4227",AP,Brake System, $200.00 ,unit,,,,,,,,
54,"Brake Caliper, AP, CP4488",AP,Brake System, $490.00 ,unit,,,,,,,,
55,"Brake Caliper, AP, CP7003",AP,Brake System, $100.00 ,unit,,,,,,,,
56,"Brake Caliper, AP, CP7853",AP,Brake System, $340.50 ,unit,,,,,,,23-May-10,
57,"Brake Caliper, Beringer, 4H02",Beringer,Brake System, $110.00 ,unit,,,,,,,7-May-11,
58,"Brake Caliper, Beringer, 4H12",Beringer,Brake System, $110.00 ,unit,,,,,,,7-May-11,
59,"Brake Caliper, Beringer, 2D1",Beringer,Brake System, $83.00 ,unit,,,,,,,7-May-11,
60,"Brake Caliper, Brembo, 20.5161.46/P32F",Brembo,Brake System, $50.00 ,unit,,,,,,,,
61,"Brake Caliper, Brembo, 20.6101/GP4-24",Brembo,Brake System, $450.00 ,unit,,,,,,,,
62,"Brake Caliper, Brembo, 20.6950.10",Brembo,Brake System, $70.00 ,unit,,,,,,,23-Feb-09,
63,"Brake Caliper, Brembo, 20.6950.11/P32G",Brembo,Brake System, $70.00 ,unit,,,,,,,6-Apr-09,
64,"Brake Caliper, Brembo, 20.6950.21/P32G",Brembo,Brake System, $70.00 ,unit,,,,,,,,
65,"Brake Caliper, Brembo, 20.6951.12/P34G",Brembo,Brake System, $70.00 ,unit,,,,,,,24-Feb-09,
66,"Brake Caliper, Brembo, 20.6951.50/P34C",Brembo,Brake System, $70.00 ,unit,,,,,,,,
67,"Brake Caliper,  Harrison, 121019P",Harrison,Brake System, $162.00 ,unit,,,,,,,27-Mar-09,
68,"Brake Caliper, Harrison, 222004P",Harrison,Brake System, $94.00 ,unit,,,,,,,27-Mar-09,
69,"Brake Caliper, Harrison, 222005P",Harrison,Brake System, $94.00 ,unit,,,,,,,27-Mar-09,
70,"Brake Caliper, Honda,  45150-HP1-006",Honda/Nissin,Brake System, $55.00 ,unit,,,,,,,,
71,"Brake Caliper, Honda, 45150-HN6-006",Honda/Nissin,Brake System, $30.00 ,unit,,,,,,,,
